crop,optimal_temperature,optimal_humidity,optimal_nitrogen,optimal_phosphorus,optimal_potassium,optimal_ph_level
Wheat,20,70,0.8,0.5,0.4,6
Rice,25,80,0.7,0.6,0.5,5.5
Corn,30,60,0.9,0.7,0.6,6
Tomato,22,65,1,0.8,0.5,6
Potato,25,75,0.8,0.6,0.7,5.5
Barley,18,60,0.7,0.4,0.4,6.2
Soybean,28,65,0.9,0.5,0.6,6.5
Cotton,32,75,0.8,0.6,0.5,6.2
Sugarcane,35,80,0.9,0.7,0.7,5.8
Sunflower,28,70,0.7,0.6,0.5,6
Sorghum,30,65,0.8,0.6,0.6,6
Peas,20,75,0.7,0.5,0.5,6
Oats,18,70,0.6,0.4,0.4,6.5
Rye,15,60,0.7,0.4,0.3,6
Canola,25,65,0.8,0.7,0.6,6
Millet,28,60,0.6,0.5,0.4,6.2
Lentils,22,70,0.7,0.6,0.5,6.2
Barley,18,60,0.7,0.4,0.4,6.2
Flax,22,65,0.8,0.6,0.5,6
Alfalfa,25,70,0.9,0.6,0.7,6.5
Rapeseed,28,65,0.8,0.7,0.6,6.2
Peanuts,30,70,0.9,0.8,0.5,6
Tobacco,32,75,0.7,0.6,0.6,5.5
Cabbage,20,70,0.8,0.5,0.4,6
Carrot,18,65,0.7,0.6,0.5,6
Onion,22,75,0.6,0.5,0.6,5.8
Celery,25,80,0.8,0.6,0.5,6
Lettuce,20,70,0.7,0.5,0.6,5.5
Spinach,18,65,0.6,0.4,0.5,6.2
Kale,22,70,0.8,0.6,0.6,6.5
Radish,25,75,0.9,0.7,0.4,6
Beetroot,30,80,0.8,0.6,0.5,6
Turnip,35,70,0.7,0.5,0.6,5.8
Artichoke,28,65,0.6,0.4,0.5,6
Broccoli,22,75,0.8,0.7,0.6,5.5
Cauliflower,20,70,0.7,0.6,0.5,6.2
BrusselsSprouts,18,65,0.6,0.5,0.6,6.5
Asparagus,25,80,0.8,0.7,0.4,6
BellPepper,30,75,0.9,0.6,0.5,6
ChiliPepper,35,70,0.8,0.6,0.6,5.8
Eggplant,28,65,0.7,0.5,0.5,6.2
Zucchini,22,70,0.6,0.4,0.6,6
Cucumber,25,75,0.8,0.6,0.5,5.5
Pumpkin,30,80,0.7,0.5,0.4,6
Squash,35,70,0.8,0.6,0.5,6
Watermelon,28,65,0.9,0.7,0.6,6.5
Cantaloupe,25,80,0.8,0.6,0.5,6.2
HoneydewMelon,22,75,0.7,0.5,0.4,6.2
Pineapple,30,70,0.9,0.8,0.5,6
Kiwi,35,65,0.7,0.6,0.6,6
Banana,25,75,0.6,0.5,0.5,5.8
Apple,22,80,0.7,0.6,0.7,6
Pear,28,70,0.8,0.6,0.5,6
Grapes,30,65,0.9,0.7,0.6,5.8
Strawberry,25,75,0.8,0.6,0.5,6
Blueberry,20,80,0.7,0.5,0.4,6.5
Raspberry,18,70,0.6,0.4,0.5,6
Blackberry,22,65,0.8,0.6,0.6,6
Cranberry,25,75,0.9,0.7,0.5,5.8
Currant,30,80,0.8,0.6,0.4,6
Gooseberry,35,70,0.7,0.5,0.5,6
Elderberry,28,65,0.6,0.4,0.6,5.8
Apricot,22,75,0.8,0.6,0.7,6
Peach,25,80,0.9,0.7,0.6,6
Plum,30,70,0.8,0.6,0.5,5.8
Cherry,35,65,0.7,0.5,0.4,6
Orange,28,80,0.8,0.6,0.5,6
Lemon,22,75,0.9,0.7,0.6,6
Lime,25,70,0.7,0.6,0.5,6
Grapefruit,30,65,0.6,0.5,0.4,5.8
Tangerine,35,80,0.8,0.6,0.5,6